trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
207,False,"{'a': 0.01, 'e': 0.12618578170503877}",20,11,7.610370347685549,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.01, 'e': 0.12493021219858241}",20,1,18.059297231934824,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.01, 'e': 0.12368713581745483}",25,11,24.13394983625907,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.01, 'e': 0.1224564282529819}",25,11,-37.29799653763441,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
211,False,"{'a': 0.01, 'e': 0.12123796643338168}",25,0,25.818343489538794,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
212,False,"{'a': 0.01, 'e': 0.12003162851145673}",35,13,30.790743966513485,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.01, 'e': 0.11883729385240965}",20,9,-40.70038792503643,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
214,False,"{'a': 0.01, 'e': 0.11765484302177918}",20,11,16.17764922001816,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.01, 'e': 0.11648415777349697}",20,6,22.002567532213998,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.01, 'e': 0.11532512103806251}",30,15,21.065492018498727,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.01, 'e': 0.1141776169108365}",25,12,13.975972603509627,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.01, 'e': 0.11304153064044985}",30,13,32.26753195797853,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.01, 'e': 0.11191674861732888}",25,0,-7.617611028305413,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
220,False,"{'a': 0.01, 'e': 0.11080315836233387}",20,9,-22.085627568583583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
221,False,"{'a': 0.01, 'e': 0.10970064851551141}",25,16,16.11233303141296,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.01, 'e': 0.10860910882495796}",30,12,22.438322868680068,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.01, 'e': 0.10752843013579495}",20,7,6.004345814133309,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.01, 'e': 0.1064585043792528}",25,11,26.687567997344217,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.01, 'e': 0.10539922456186433}",25,8,18.87125652448239,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
